variant,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_21,44,0.5016077170418006,0.512537239324727,0.6993462460379395,0.2522682107825672,0.18761605024337769,0.8737426996231079
search_22,42,0.5691318327974276,0.5928086726249586,0.6782728069720432,0.24270244464485066,0.2854481041431427,0.731979489326477
search_22,43,0.5144694533762058,0.5612793776895069,0.7114881045954071,0.2554908628857066,0.03287529945373535,0.9653155207633972
search_22,44,0.5627009646302251,0.5838712346904997,0.6842519428866698,0.24510084580252545,0.15708941221237183,0.9099242091178894
search_23,42,0.6109324758842444,0.6420680238331679,0.6714819250481286,0.23793845150491855,0.16370421648025513,0.8551499247550964
search_23,43,0.5819935691318328,0.5989945382323734,0.6882649987952401,0.2465697569447556,0.163941890001297,0.8446201086044312
search_23,44,0.6077170418006431,0.6282480966567362,0.6834807688707296,0.243769894583729,0.1428278684616089,0.8571721315383911
search_24,42,0.5466237942122186,0.5531074147633235,0.6964947624925941,0.2514949305315516,0.22637197375297546,0.7753391265869141
search_24,43,0.5048231511254019,0.5546590532936115,0.6909573776862565,0.24825837991423208,0.20473814010620117,0.9029746651649475
search_24,44,0.5144694533762058,0.5320671962926183,0.7281754245581746,0.2615465249293285,0.04100692272186279,0.9818460941314697
search_25,42,0.6012861736334405,0.600959947037405,0.6871480591439807,0.2469982542668493,0.2624429166316986,0.737557053565979
search_25,43,0.594855305466238,0.5863538563389608,0.6870469517821396,0.24696940887658447,0.32924124598503113,0.6707587242126465
search_25,44,0.4533762057877814,0.4442444554783184,0.6929486199814596,0.24992069432387912,0.2902583181858063,0.7097416520118713
search_27,42,0.5659163987138264,0.5840781198278716,0.6891628464238263,0.24800953970239814,0.46771886944770813,0.5385987758636475
search_27,43,0.5627009646302251,0.5705892088712348,0.6861596340471477,0.24663203793450486,0.21254423260688782,0.7874557375907898
search_27,44,0.5241157556270096,0.519736842105263,0.692272076308123,0.24958331697831132,0.28250572085380554,0.7174943089485168
search_28,42,0.5852090032154341,0.6118834822906322,0.6754985118117375,0.24134495626819724,0.18051478266716003,0.8194851875305176
search_28,43,0.617363344051447,0.6238828202581926,0.667940213566797,0.23821451832057194,0.06706234812736511,0.8753683567047119
search_28,44,0.6045016077170418,0.5990979808010594,0.6907850198209943,0.2484798278365391,0.16715267300605774,0.8328473567962646
search_29,42,0.5562700964630225,0.5796921549155909,0.6893565254947916,0.24813760905864005,0.28722700476646423,0.7127730250358582
search_29,43,0.5819935691318328,0.5833333333333334,0.689189247235568,0.24810162292372773,0.26463380455970764,0.7596867680549622
search_29,44,0.5273311897106109,0.5482456140350878,0.6891497213546426,0.248003577958607,0.2933143973350525,0.7066856026649475
search_30,42,0.594855305466238,0.6435369083085072,0.6620964158697844,0.23494642555282969,0.17692440748214722,0.8615192770957947
search_30,43,0.5273311897106109,0.5511006289308176,0.693034080520108,0.2494312109066037,0.10829082131385803,0.9076090455055237
search_30,44,0.5916398713826366,0.5944637537239323,0.690305054934319,0.24803181581024386,0.1693853735923767,0.8784599900245667
search_32,42,0.5787781350482315,0.6173866269447202,0.6732378578579609,0.240110334671291,0.24136701226234436,0.7441573143005371
search_32,43,0.5080385852090032,0.5479973518702417,0.6893179379519517,0.2478453445559639,0.20946377515792847,0.878390908241272
search_32,44,0.5466237942122186,0.5683962264150944,0.6937097380812492,0.2486452142359811,0.10075691342353821,0.9430163502693176
search_33,42,0.47266881028938906,0.48570423700761334,0.6944509650729109,0.2506521840619965,0.42467695474624634,0.5580062866210938
search_33,43,0.48231511254019294,0.5100959947037405,0.6927274578414276,0.24979050111195272,0.4609740078449249,0.5336156487464905
search_33,44,0.48231511254019294,0.48278715657067195,0.6966601125373988,0.25175177912412877,0.3584204614162445,0.6161621809005737
search_34,42,0.5787781350482315,0.5991807348560079,0.6834890507831608,0.24514654226317298,0.18005087971687317,0.8487533330917358
search_34,43,0.5852090032154341,0.6215657067196292,0.6746319224104573,0.24070171754584635,0.163582444190979,0.8705123066902161
search_34,44,0.5916398713826366,0.5996772591857001,0.6822153749719485,0.24456936403629415,0.16497209668159485,0.8646515607833862
search_36,42,0.5980707395498392,0.6290756372062231,0.6760287041533178,0.24159043090260163,0.26901668310165405,0.702092170715332
search_36,43,0.6109324758842444,0.6264688844753392,0.6740864871359626,0.2406540858360213,0.2420465648174286,0.7480086088180542
