variant,period,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
search_20,recent_79,79,41,0.5189873417721519,0.577922077922078,0.6785029454369753,0.24343202524030919,0.19219366709391275,0.7804010510444641
search_21,all_311,311,190,0.6109324758842444,0.6111180072823568,0.6901728254354907,0.2476258657274381,0.175828754901886,0.8829649289449056
search_21,development_232,232,151,0.6508620689655172,0.6598662207357859,0.6750352669352858,0.24108791868304813,0.3417602876822154,0.7084503769874573
search_21,recent_79,79,39,0.4936708860759494,0.5038961038961038,0.734627427613308,0.26682591274387457,0.175828754901886,0.8829649289449056
search_22,all_311,311,176,0.5659163987138264,0.595705064548163,0.6828291363648978,0.24464085284078743,0.1889764666557312,0.853673001130422
search_22,development_232,232,134,0.5775862068965517,0.6118171683389074,0.6792829514153156,0.24310187423621768,0.1889764666557312,0.835243801275889
search_22,recent_79,79,42,0.5316455696202531,0.5805194805194804,0.6932432491282285,0.2491603849453467,0.20054779450098673,0.853673001130422
search_23,all_311,311,194,0.6237942122186495,0.633254716981132,0.6737803313199098,0.23940997838227931,0.16403034329414368,0.8453632791837057
search_23,development_232,232,146,0.6293103448275862,0.6603493125232256,0.6538179088018456,0.23084982712414345,0.18584319949150085,0.7731534441312155
search_23,recent_79,79,48,0.6075949367088608,0.5727272727272726,0.7324041544109332,0.26454865043148834,0.16403034329414368,0.8453632791837057
search_24,all_311,311,175,0.5627009646302251,0.5579692154915591,0.6948332094313446,0.25043733968370313,0.20856704314549765,0.8586364189783732
search_24,development_232,232,134,0.5775862068965517,0.5752508361204013,0.6908608900074676,0.2486400490079619,0.20856704314549765,0.8170187075932821
search_24,recent_79,79,41,0.5189873417721519,0.5506493506493507,0.7064987550812112,0.2557154591365128,0.2108368178208669,0.8586364189783732
search_25,all_311,311,183,0.5884244372990354,0.5932017543859649,0.6881561855594975,0.24752850015468342,0.29398082693417865,0.7060191432634989
search_25,development_232,232,139,0.5991379310344828,0.6180230397621702,0.6891864288603029,0.2480224719036477,0.40315284331639606,0.5968471467494965
search_25,recent_79,79,44,0.5569620253164557,0.5847402597402598,0.6851306609292841,0.24607784894253532,0.29398082693417865,0.7060191432634989
search_27,all_311,311,174,0.5594855305466238,0.5716650115855677,0.6854218173107928,0.24617403050183842,0.33853981892267865,0.6614601810773214
search_27,development_232,232,135,0.5818965517241379,0.5946859903381643,0.6834820866334044,0.24518854928136757,0.4057568709055583,0.5942431092262268
search_27,recent_79,79,39,0.4936708860759494,0.5224025974025974,0.6911182415785664,0.249068101934107,0.33853981892267865,0.6614601810773214
search_28,all_311,311,180,0.5787781350482315,0.6103318437603442,0.6763267690169034,0.2418834054900865,0.1574330429236094,0.842566967010498
search_28,development_232,232,141,0.6077586206896551,0.6474173169825344,0.6637089912909878,0.23560964647657429,0.17214070757230124,0.749828020731608
search_28,recent_79,79,39,0.4936708860759494,0.5412337662337662,0.7133815086676931,0.26030760917533763,0.1574330429236094,0.842566967010498
search_29,all_311,311,182,0.5852090032154341,0.5858573320092686,0.688314833767837,0.24762047856973438,0.28172506888707477,0.7182749509811401
search_29,development_232,232,139,0.5991379310344828,0.5948346339650687,0.69006201105579,0.24846094554557402,0.4132128655910492,0.5817685921986898
search_29,recent_79,79,43,0.5443037974683544,0.5857142857142857,0.6831838827449878,0.24515227175461043,0.28172506888707477,0.7182749509811401
