_key,league,datacompleteness,reason
LJL|LOLTMNT01_191514,LJL,complete,missing_player_id
LCP|LOLTMNT01_192554,LCP,complete,eligible
LFL2|LOLTMNT06_96867,LFL2,complete,eligible
LPL|11728-11728_game_3,LPL,partial,not_complete
LFL2|LOLTMNT06_95831,LFL2,complete,eligible
LPL|11728-11728_game_4,LPL,partial,not_complete
LFL2|LOLTMNT06_95832,LFL2,complete,eligible
LCP|LOLTMNT01_192599,LCP,complete,eligible
LFL2|LOLTMNT06_96870,LFL2,complete,eligible
LCP|LOLTMNT01_192618,LCP,complete,eligible
LTA S|LOLTMNT01_191597,LTA S,complete,eligible
LEC|LOLTMNT04_92110,LEC,complete,eligible
LTA S|LOLTMNT01_191624,LTA S,complete,eligible
LEC|LOLTMNT04_92114,LEC,complete,eligible
LTA S|LOLTMNT01_192707,LTA S,complete,eligible
LEC|LOLTMNT04_92126,LEC,complete,eligible
LTA S|LOLTMNT01_192721,LTA S,complete,eligible
LEC|LOLTMNT04_92133,LEC,complete,eligible
LTA S|LOLTMNT01_191692,LTA S,complete,eligible
LEC|LOLTMNT04_92142,LEC,complete,eligible
LTA N|LOLTMNT01_191712,LTA N,complete,eligible
LTA S|LOLTMNT01_191715,LTA S,complete,eligible
LTA N|LOLTMNT01_191718,LTA N,complete,eligible
LTA N|LOLTMNT01_192790,LTA N,complete,eligible
LTA N|LOLTMNT01_192797,LTA N,complete,eligible
LCK|LOLTMNT03_191289,LCK,complete,eligible
LJL|LOLTMNT01_191805,LJL,complete,missing_player_id
LJL|LOLTMNT01_191806,LJL,complete,missing_player_id
LJL|LOLTMNT01_192856,LJL,complete,missing_player_id
LCK|LOLTMNT03_191291,LCK,complete,eligible
LJL|LOLTMNT01_191839,LJL,complete,eligible
LJL|LOLTMNT01_191831,LJL,complete,missing_player_id
LJL|LOLTMNT01_191840,LJL,complete,missing_player_id
LJL|LOLTMNT01_192882,LJL,complete,missing_player_id
LJL|LOLTMNT01_191841,LJL,complete,missing_player_id
LJL|LOLTMNT01_192883,LJL,complete,missing_player_id
LJL|LOLTMNT01_192888,LJL,complete,missing_player_id
LJL|LOLTMNT01_191848,LJL,complete,eligible
LJL|LOLTMNT01_191851,LJL,complete,missing_player_id
LJL|LOLTMNT01_192891,LJL,complete,missing_player_id
LJL|LOLTMNT01_192890,LJL,complete,missing_player_id
LJL|LOLTMNT01_191853,LJL,complete,missing_player_id
LCK|LOLTMNT03_191298,LCK,complete,eligible
LJL|LOLTMNT01_192900,LJL,complete,missing_player_id
LJL|LOLTMNT01_192897,LJL,complete,missing_player_id
LJL|LOLTMNT01_192901,LJL,complete,missing_player_id
LJL|LOLTMNT01_191865,LJL,complete,missing_player_id
LJL|LOLTMNT01_191863,LJL,complete,eligible
LJL|LOLTMNT01_192903,LJL,complete,missing_player_id
LCK|LOLTMNT03_190508,LCK,complete,eligible
LCP|LOLTMNT01_191882,LCP,complete,eligible
LFL2|LOLTMNT06_95858,LFL2,complete,eligible
LCP|LOLTMNT01_191887,LCP,complete,eligible
LFL2|LOLTMNT06_95862,LFL2,complete,eligible
LCP|LOLTMNT01_192954,LCP,complete,eligible
LFL2|LOLTMNT06_96906,LFL2,complete,eligible
LCP|LOLTMNT01_192973,LCP,complete,eligible
LFL2|LOLTMNT06_95864,LFL2,complete,eligible
LTA S|LOLTMNT01_193039,LTA S,complete,eligible
LEC|LOLTMNT04_92193,LEC,complete,eligible
LTA S|LOLTMNT01_194013,LTA S,complete,eligible
LEC|LOLTMNT04_93166,LEC,complete,eligible
LTA S|LOLTMNT01_193073,LTA S,complete,eligible
LTA S|LOLTMNT01_193083,LTA S,complete,eligible
LEC|LOLTMNT04_93174,LEC,complete,eligible
LEC|LOLTMNT04_92211,LEC,complete,eligible
LTA S|LOLTMNT01_194060,LTA S,complete,eligible
LEC|LOLTMNT04_92219,LEC,complete,eligible
LTA N|LOLTMNT01_194069,LTA N,complete,eligible
LTA N|LOLTMNT01_194092,LTA N,complete,eligible
LTA N|LOLTMNT01_193134,LTA N,complete,eligible
LTA N|LOLTMNT01_193140,LTA N,complete,eligible
LEC|LOLTMNT04_92277,LEC,complete,eligible
LEC|LOLTMNT04_93276,LEC,complete,eligible
LEC|LOLTMNT04_93287,LEC,complete,eligible
LEC|LOLTMNT04_93299,LEC,complete,eligible
LEC|LOLTMNT04_93308,LEC,complete,eligible
HLL|LOLTMNT01_193541,HLL,complete,eligible
HLL|LOLTMNT01_194511,HLL,complete,eligible
HW|LOLTMNT01_194534,HW,complete,eligible
RL|LOLTMNT01_193617,RL,complete,eligible
HLL|LOLTMNT01_194545,HLL,complete,eligible
PRM|LOLTMNT04_93347,PRM,complete,eligible
LVP SL|LOLTMNT01_193651,LVP SL,complete,eligible
HW|LOLTMNT01_194565,HW,complete,eligible
RL|LOLTMNT01_194562,RL,complete,eligible
LVP SL|LOLTMNT01_194596,LVP SL,complete,eligible
PRM|LOLTMNT04_93358,PRM,complete,eligible
HW|LOLTMNT01_193701,HW,complete,eligible
RL|LOLTMNT01_194621,RL,complete,eligible
LVP SL|LOLTMNT01_194638,LVP SL,complete,eligible
PRM|LOLTMNT04_92372,PRM,complete,eligible
HW|LOLTMNT01_193731,HW,complete,eligible
LVP SL|LOLTMNT01_193749,LVP SL,complete,eligible
PRM|LOLTMNT04_92376,PRM,complete,eligible
HW|LOLTMNT01_194670,HW,complete,eligible
RL|LOLTMNT04_93366,RL,complete,eligible
LVP SL|LOLTMNT01_193769,LVP SL,complete,eligible
PRM|LOLTMNT04_92378,PRM,complete,eligible
RL|LOLTMNT04_93368,RL,complete,eligible
PRM|LOLTMNT04_93369,PRM,complete,eligible
TCL|LOLTMNT04_92393,TCL,complete,eligible
HLL|LOLTMNT01_194910,HLL,complete,eligible
TCL|LOLTMNT04_92400,TCL,complete,eligible
HLL|LOLTMNT01_195023,HLL,complete,eligible
HW|LOLTMNT01_194969,HW,complete,eligible
RL|LOLTMNT01_194968,RL,complete,eligible
HLL|LOLTMNT01_194983,HLL,complete,eligible
TCL|LOLTMNT04_93405,TCL,complete,eligible
LVP SL|LOLTMNT01_195065,LVP SL,complete,eligible
NLC|LOLTMNT04_92414,NLC,complete,eligible
